SEP=;
OBST ID;TYPE;COORD;LAT;LONG;HGT AGL (FT);ELEV MSL (FT);LGT TYPE;LGT HR;MARKINGS
EFINOB 12194;Mast;615321.1N 0275234.7E;61.88918768;27.87630899;332;797;F R;HN;Y
EFINOB 12206;Chimney;621905.7N 0275352.5E;62.31826023;27.89791584;329;593;NIL;NIL;NIL
EFINOB 12209;Chimney;621859.7N 0275338.7E;62.31658341;27.89409698;394;657;F R;HN;NIL
EFINOB 12210;Mast;621815.9N 0275550.3E;62.30442681;27.93064199;405;837;F R;HN;Y
EFINOB 12211;Mast;622025.4N 0275130.7E;62.34038461;27.8585173;390;732;F R;HN;Y
EFINOB 12214;Chimney;621907.7N 0275358.5E;62.31880708;27.89957799;404;669;F R;HN;NIL
EFINOB 12216;Chimney;621857.9N 0275344.5E;62.31607774;27.8956891;396;668;F R;HN;NIL
EFINOB 12251;Mast;614214.6N 0271516.5E;61.70406924;27.2545827;364;699;F R;HN;Y
EFINOB 12260;Mast;613505.6N 0272755.9E;61.58487897;27.46553098;693;1183;FLG W;H24;Y
EFINOB 12297;Chimney;621521.4N 0211940.8E;62.25595538;21.32801233;455;463;F R;HN;NIL
EFINOB 12348;Mast;622537.0N 0221240.3E;62.4269473;22.21119317;453;831;F R;HN;Y
EFINOB 12381;Chimney;630529.6N 0213307.9E;63.09154874;21.5521938;499;507;F R;HN;NIL
EFINOB 12390;Mast;630545.7N 0213856.7E;63.09601574;21.64908884;459;507;FLG R;H24;Y
EFINOB 12414;Mast;601124.9N 0194417.7E;60.19025408;19.73825115;356;538;F R;HN;Y
EFINOB 12417;Mast;600108.7N 0200003.7E;60.01908091;20.00101487;525;576;F R;HN;Y
EFINOB 12430;Mast;601245.8N 0200803.2E;60.21272438;20.13422765;696;863;FLG W;H24;Y
EFINOB 12434;Mast;600730.4N 0203925.3E;60.12510683;20.65701808;329;415;F R;HN;Y
EFINOB 12449;Mast;601005.6N 0213249.3E;60.16823211;21.54701575;352;459;F R;HN;Y
EFINOB 12499;Chimney;613436.7N 0213311.3E;61.57685706;21.55314175;430;456;F R;HN;NIL
EFINOB 12556;Mast;610024.6N 0253124.3E;61.00682487;25.52342872;1073;1787;FLG W;H24;Y
EFINOB 12558;Mast;605843.4N 0253855.3E;60.97871307;25.64869425;523;972;F R;HN;Y
EFINOB 12559;Mast;605848.3N 0253836.9E;60.98007349;25.64357399;500;952;F R;HN;Y
EFINOB 12570;Chimney;605930.8N 0254312.0E;60.99189126;25.7200004;509;832;FLG W;HN;NIL
EFINOB 12620;Chimney;610357.3N 0281422.4E;61.06592491;28.23956481;378;723;FLG W;H24;NIL
EFINOB 12657;Mast;603405.9N 0255441.1E;60.56829492;25.91141557;588;746;FLG W;H24;NIL
EFINOB 12667;Chimney;602756.9N 0265723.0E;60.46579583;26.95639804;444;484;F R;HN;NIL
EFINOB 12670;Chimney;602926.3N 0265705.5E;60.49064724;26.95152679;393;435;FLG R;HN;NIL
EFINOB 12679;Mast;603113.6N 0262713.3E;60.52045467;26.45368103;331;553;F R;HN;Y
EFINOB 12682;Chimney;604607.2N 0264624.5E;60.76866462;26.77347293;364;502;NIL;NIL;NIL
EFINOB 12687;Chimney;603200.0N 0265444.3E;60.53333225;26.91231012;414;438;NIL;NIL;NIL
EFINOB 12695;Chimney;604229.3N 0264913.1E;60.70814758;26.82029552;356;467;NIL;NIL;NIL
EFINOB 12705;Mast;604132.3N 0270247.5E;60.69229256;27.04653919;1044;1285;FLG W;H24;Y
EFINOB 12736;Mast;605028.8N 0263547.1E;60.84131987;26.59641161;475;689;F R;HN;Y
